year,month,extent_north,extent_south,extent_global,change_north,change_south,change_global,month_cat
2014,11,10.115,16.388,26.503,-0.828,1.051,0.223,November
2014,12,12.353,11.928,24.281,-0.983,2.692,1.709,December
2015,1,13.602,6.852,20.454,-1.812,1.45,-0.362,January
2015,2,14.401,3.799,18.2,-1.774,0.658,-1.116,February
2015,3,14.371,4.964,19.335,-1.971,0.965,-1.006,March
2015,4,13.893,8.373,22.266,-1.554,0.887,-0.667,April
2015,5,12.468,11.716,24.184,-1.389,0.889,-0.5,May
2015,6,10.879,14.475,25.354,-1.651,0.288,-1.363,June
2015,7,8.378,16.775,25.153,-1.933,0.258,-1.675,July
2015,8,5.599,17.749,23.348,-2.442,0.051,-2.391,August
2015,9,4.616,18.444,23.06,-2.435,0.248,-2.187,September
2015,10,6.966,18.409,25.375,-1.782,0.589,-1.193,October
2015,11,9.846,16.175,26.021,-1.097,0.838,-0.259,November
2015,12,12.045,10.655,22.7,-1.291,1.419,0.128,December
2016,1,13.457,4.689,18.146,-1.957,-0.713,-2.67,January
2016,2,14.203,2.79,16.993,-1.972,-0.351,-2.323,February
2016,3,14.4,4.069,18.469,-1.942,0.07,-1.872,March
2016,4,13.681,7.222,20.903,-1.766,-0.264,-2.03,April
2016,5,11.924,10.102,22.026,-1.933,-0.725,-2.658,May
2016,6,10.413,13.242,23.655,-2.117,-0.945,-3.062,June
2016,7,7.938,16.024,23.962,-2.373,-0.493,-2.866,July
2016,8,5.371,17.892,23.263,-2.67,0.194,-2.476,August
2016,9,4.528,18.15,22.678,-2.523,-0.046,-2.569,September
2016,10,6.082,17.46,23.542,-2.666,-0.36,-3.026,October
2016,11,8.658,14.223,22.881,-2.285,-1.114,-3.399,November
2016,12,11.459,8.279,19.738,-1.877,-0.957,-2.834,December
2017,1,13.19,3.784,16.974,-2.224,-1.618,-3.842,January
2017,2,14.119,2.288,16.407,-2.056,-0.853,-2.909,February
2017,3,14.29,2.699,16.989,-2.052,-1.3,-3.352,March
2017,4,13.753,5.436,19.189,-1.694,-2.05,-3.744,April
2017,5,12.63,9.014,21.644,-1.227,-1.813,-3.04,May
2017,6,10.756,12.409,23.165,-1.774,-1.778,-3.552,June
2017,7,7.939,15.297,23.236,-2.372,-1.22,-3.592,July
2017,8,5.481,17.219,22.7,-2.56,-0.479,-3.039,August
2017,9,4.822,17.906,22.728,-2.229,-0.29,-2.519,September
2017,10,6.767,17.776,24.543,-1.981,-0.044,-2.025,October
2017,11,9.493,15.113,24.606,-1.45,-0.224,-1.674,November
2017,12,11.743,9.482,21.225,-1.593,0.246,-1.347,December
2018,1,13.057,4.127,17.184,-2.357,-1.275,-3.632,January
2018,2,13.946,2.294,16.24,-2.229,-0.847,-3.076,February
2018,3,14.298,3.528,17.826,-2.044,-0.471,-2.515,March
2018,4,13.709,6.01,19.719,-1.738,-1.476,-3.214,April
2018,5,12.209,9.294,21.503,-1.648,-1.533,-3.181,May
2018,6,10.709,12.846,23.555,-1.821,-1.341,-3.162,June
2018,7,8.224,15.657,23.881,-2.087,-0.86,-2.947,July
2018,8,5.608,17.34,22.948,-2.433,-0.358,-2.791,August
2018,9,4.714,17.879,22.593,-2.337,-0.317,-2.654,September
2018,10,6.063,17.655,23.718,-2.685,-0.165,-2.85,October
2018,11,9.805,15.01,24.815,-1.138,-0.327,-1.465,November
2018,12,11.857,9.033,20.89,-1.479,-0.203,-1.682,December
